Country Name	2010 [YR2010]	2012 [YR2012]
Afghanistan	41	43
Albania	100	100
Algeria	99.3	100
American Samoa	55.8	59.32891
Andorra	100	100
Angola	34.6	37
Antigua and Barbuda	87.87328	90.87544
Arab World	84.36234845	86.28035094
Argentina	94	99.8
Armenia	99.8	100
Aruba	87.87328	90.87544
Australia	100	100
Austria	100	100
Azerbaijan	99.5	100
"Bahamas, The"	100	100
Bahrain	94.1	97.69783
Bangladesh	55.2	59.6
Barbados	87.87328	90.87544
Belarus	100	100
Belgium	100	100
Belize	99.3	100
Benin	27.9	38.4
Bermuda	100	100
Bhutan	72	75.56256
Bolivia	80.2	90.5
Bosnia and Herzegovina	99.7	100
Botswana	43.1	53.24
Brazil	98	99.5
Brunei Darussalam	72.6	76.16138
Bulgaria	100	100
Burkina Faso	13.1	13.1
Burundi	5.3	6.5
Cabo Verde	67	70.56256
Cambodia	31.1	31.1
Cameroon	49	53.7
Canada	100	100
Caribbean small states	92.38232581	93.45615719
Cayman Islands	87.87328	90.87544
Central African Republic	9.5	10.8
Central Europe and the Baltics	100	100
Chad	3.5	6.4
Channel Islands	100	100
Chile	99	99.6
China	99.7	100
Colombia	96.7	97
Comoros	51.5	69.3
"Congo, Dem. Rep."	15.2	16.4
"Congo, Rep."	37.1	41.6
Costa Rica	98	99.5
Cote d'Ivoire	58.9	55.8
Croatia	100	100
Cuba	100	100
Curacao	87.87328	90.87544
Cyprus	100	100
Czech Republic	100	100
Denmark	100	100
Djibouti	49.7	53.26256
Dominica	91.83897	92.66676
Dominican Republic	98	98
Early-demographic dividend	78.51674467	81.41481733
East Asia & Pacific	95.29011756	96.11852
East Asia & Pacific (excluding high income)	94.79999737	95.71378454
East Asia & Pacific (IDA & IBRD countries)	95.67031995	96.54762542
Ecuador	97	97.2
"Egypt, Arab Rep."	99.6	100
El Salvador	92	93.7
Equatorial Guinea	65.1722	66
Eritrea	32.5	36.0768
Estonia	100	100
Ethiopia	23	26.56256
Euro area	100	100
Europe & Central Asia	99.97469887	100
Europe & Central Asia (excluding high income)	99.94364154	100
Europe & Central Asia (IDA & IBRD countries)	99.94906071	100
European Union	100	100
Faroe Islands	100	100
Fiji	55.8	59.32891
Finland	100	100
Fragile and conflict affected situations	39.57416798	41.85987831
France	100	100
French Polynesia	55.8	59.32891
Gabon	81.6	89.3
"Gambia, The"	31	34.5268
Georgia	100	100
Germany	100	100
Ghana	60.5	64.06256
Greece	100	100
Greenland	100	100
Grenada	87.87328	90.87544
Guam	55.8	59.32891
Guatemala	78.3	78.5
