,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013
62,East Asia & Pacific (excluding high income),47.4017711629481,47.2725545981781,47.4426061238902,47.5809144891168,47.7355482327972,47.7966266562885,47.8718908724694,47.9451283526196,48.0027417470003
142,Lower middle income,46.6147864467559,46.7522243342519,46.8968835760543,46.9303548870934,46.8394407762468,46.9191594491149,45.8099756721994,46.1034128801106,45.9312006476307
227,Sub-Saharan Africa (excluding high income),44.1851407365335,44.2655559268052,44.4109609330696,44.5935299552681,44.551565146208,44.7012383666938,43.7317858457841,44.0862886346862,43.8647892545574
141,Low income,38.0012989816871,38.036621538599,38.1980055526946,38.5345376153545,38.6866347548521,38.8541933428143,39.0656427904018,39.2593707947921,39.2517168861581
140,Low & middle income,38.0576892501104,38.091917011655,38.1634940635628,38.2162735340388,38.2232117518945,38.367515359485,38.1628856954977,38.2958676315301,38.3481947240358
160,Middle income,38.0669846596763,38.1010210268717,38.1578127283672,38.1638726884334,38.1469087472753,38.2873791639728,38.0142355492623,38.1372143630971,38.1994179769155
130,Latin America & Caribbean (excluding high income),36.6760474871306,36.8490638463444,37.0027650203973,37.132762873317,37.1320176793728,37.321018344444,37.4227768555225,37.5700142895977,37.8547609832136
98,High income,37.9156653590888,37.4678435473202,37.2266209048632,37.0089909174447,36.6218254780376,36.1933235119694,36.3610345354929,36.4071084658132,36.0481033568297
252,Upper middle income,34.9397911425858,34.9411488727287,34.9642275841138,34.9618596663683,34.9717748865795,35.1344547404721,35.1666933239532,35.2274194749251,35.375254638399
73,Europe & Central Asia (excluding high income),28.0584273176001,28.1174169875928,28.024253540356,27.9626292613155,27.9314285016813,28.1748141145737,28.1474699245301,28.1412229127606,28.2407153899471
158,Middle East & North Africa (excluding high income),22.9113601865906,22.9017374745187,22.9502324844191,22.6844285765521,22.6495067746161,22.7044335944507,22.7294652166919,22.7680240988674,22.8476612271397
