,?Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
0,Afghanistan,AFG,1.22414808372471,2.10712364546412,1.9,1.84,3.55,4,5,5.45454545454545,5.9,7,8.26
1,Albania,ALB,6.04389086404814,9.60999131577118,15.0361154084109,23.86,41.2,45,49,54.6559590399494,57.2,60.1,63.252932696931
2,Algeria,DZA,5.84394209201256,7.37598495634886,9.45119062555304,10.18,11.23,12.5,14,15.2280267564417,16.5,25,38.2
3,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..
4,Andorra,ADO,37.6057662174867,48.9368469989479,70.87,70.04,78.53,81,81,86.4344246167258,94,95.9,96.91
5,Angola,AGO,1.1433668265595,1.5,1.7,1.9,2.3,2.8,3.1,6.5,8.9,10.2,12.4
6,Antigua and Barbuda,ATG,27,30,34,38,42,47,52,58,63.4,64,65.2
7,Arab World,ARB,8.39314172532196,11.6546479149058,14.2059022369738,18.5935311754275,21.5453538966849,24.5357799041128,26.5499874960793,29.954302058642,32.3498958909775,36.007129851435,39.5261540659397
8,Argentina,ARG,17.7205833696065,20.9272021035896,25.9466329403819,28.1126234799907,34,45,51,55.8,59.9,64.7,69.40092102179
9,Armenia,ARM,5.25298335195804,5.63178777731609,6.02125339712607,6.21,15.3,25,32,37.5,41.9,54.6228058583362,58.2493322231746
10,Aruba,ABW,25.4,28,30.9,52,58,62,69,74,78.9,83.78,88.661226932496
11,Australia,AUS,63,66,69.45,71.67,74.25,76,79.4876977139029,79,83.453497167,84,84.560519347399
12,Austria,AUT,58,63.6,69.37,72.87,73.45,75.17,78.7399930986888,80.0299939169903,80.6188,81,83.9263
13,Azerbaijan,AZE,8.03037535616454,11.9921773343674,14.54,17.08,27.4,46,50,54.2,73.000001372,75.0000156363396,77
14,"Bahamas, The",BHS,25,26,27,31.54,33.88,43,65,71.7482028146963,72,76.92,78
15,Bahrain,BHR,21.3037335136591,28.2439524318043,32.91,51.95,53,55,76.9999665032303,88,90.0000397,90.5031334814656,93.4783011354165
16,Bangladesh,BGD,0.24163732563671,1,1.8,2.5,3.1,3.7,4.5,5,6.63,13.9,14.4
17,Barbados,BRB,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,75.16,76.11
18,Belarus,BLR,..,16.2,19.7,23,27.43,31.8,39.6488956598961,46.91,54.17,59.02,62.230360906803
19,Belgium,BEL,55.82,59.72,64.44,66,70,75,81.6099959955952,80.7199905482042,82.1702,85,85.0529
20,Belize,BLZ,17,24,24.6,26.3,27.2,28.2,30.7,31,33.6,38.7,41.589999999835
21,Benin,BEN,1.27103143947107,1.53785434624704,1.79,1.85,2.24,3.13,4.14832306562512,4.5,4.9,6,6.787702956098
22,Bermuda,BMU,65.4470657898838,69.8996551617012,74.3505940302669,82.3,83.25,84.21,88.336,91.2993045243401,95.3,96.8,98.3236096537251
23,Bhutan,BTN,3.84710674490143,4.5183172581646,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8
24,Bolivia,BOL,5.22758395663196,6.20067125473576,10.4992443168903,12.5,16.8,22.4,30,35.34,36.99,34.6,45.1
25,Bosnia and Herzegovina,BIH,21.3267010007738,25.1223856852117,27.92,34.66,37.74,42.75,47.77,52.78,57.79,60.8,65.065502803344
26,Botswana,BWA,3.26255403605122,4.28993297515968,5.28,6.25,6.15,6,8,11.5,15,18.5,27.5
27,Brazil,BRA,21.022747248827,28.1783801797929,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.5510018796392,59.079477910505
28,British Virgin Islands,VGB,..,..,..,..,36,37,37.4,37.6,..,..,..
29,Brunei Darussalam,BRN,36.4663919475782,42.1863491609307,44.68,46,49,53,56,60.2730650423193,64.5,68.77,71.2
30,Bulgaria,BGR,19.97,27.09,33.64,39.67,45,46.23,47.9799930506026,51.8999876658503,53.0615,55.49,56.6563
31,Burkina Faso,BFA,0.469914488656657,0.632707564461829,0.75,0.92,1.13,2.4,3,3.72503491597675,9.1,9.4,11.387646166247
32,Burundi,BDI,0.542142865759056,0.657592590351907,0.7,0.81,0.9,1,1.11,1.21999994477793,1.2642181112,1.38,4.86622446359511
33,Cabo Verde,CPV,6.07408710659813,6.80891100753313,8.28321981953034,14,21,30,32,34.74,37.5,40.26,43.019626357101
34,Cambodia,KHM,0.317321781089656,0.468356720063827,0.49,0.51,0.53,1.26,3.1,4.94,6.8,14,19
35,Cameroon,CMR,1.40265422575955,2.0287447914719,2.93,3.4,3.84,4.3,5,..,..,16.2148722257524,20.6801476606263
36,Canada,CAN,71.66,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.12,88.47
37,Caribbean small states,CSS,19.4889586938388,22.344852565203,24.4938786959772,27.7240474061961,31.9269499652323,35.7431661251675,42.5421839662455,43.1370942656172,46.0331197974763,49.187592802478,51.9169995201878
38,Cayman Islands,CYM,38.0343830823064,44.5,52,61,64.5,66,69.46594499,69.7,71.4,74.1,77
39,Central African Republic,CAF,0.268195609199012,0.311159173235716,0.375815961044797,1,1.8,2,2.2,3,3.5,4.03,4.563264351542
40,Central Europe and the Baltics,CEB,34.6472932177625,40.6587637475186,45.1142814939245,50.48331469867,54.8702244711506,58.3501669587243,58.8573921348573,61.509548772537,63.28363087188,66.9285233413295,68.1565862177866
41,Chad,TCD,0.399257700084004,0.581045764229641,0.847224520710968,1.19,1.5,1.7,1.9,2.10000000005453,2.3,2.5,2.70000000055
42,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..
43,Chile,CHL,31.1753470303684,34.4977511736017,35.9,37.3,41.56,45,52.2496072877744,55.05,58,61.11,64.289
44,China,CHN,8.52325700269541,10.5231526193851,16,22.6,28.9,34.3,38.3,42.3001174855995,45.8,47.9,50.3
45,Colombia,COL,11.0072638904585,15.3416745365682,21.8,25.6,30,36.5,40.3509157546318,48.98,51.7,52.57,55.9049725142924
46,Comoros,COM,2,2.2,2.5,3,3.5,5.1,5.5,5.97529630842855,6.5,6.98,7.459161385649
47,"Congo, Dem. Rep.",ZAR,0.238037798692792,0.29605361030881,0.37,0.44,0.56,0.72,1.2,1.679961014645,2.2,3,3.799999507273
48,"Congo, Rep.",COG,1.46342005950851,2.00799007938159,2.75970437370903,4.28750990276481,4.5,5,5.6,6.10669502435836,6.6,7.11,7.61597466209
49,Costa Rica,CRI,22.07,25.1,28.4,32.29,34.33,36.5,39.2121959961842,47.5,45.96,53,59.7629501371681
50,Cote d'Ivoire,CIV,1.03923820514001,1.52490079122527,1.8,1.9,2,2.7,2.9,5,8.4,14.6,21
51,Croatia,HRV,33.14,37.98,41.44,44.24,50.58,56.55,57.7899789891444,61.9399731527956,66.7476,68.57,69.8031
52,Cuba,CUB,9.73806220781346,11.1596013147617,11.69,12.94,14.33,15.9,16.0172907996413,21.2,27.93,29.0701843656523,31.107970210145
53,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..
54,Cyprus,CYP,32.81,35.83,40.77,42.31,49.81,52.99,56.8598923503507,60.6898684001903,65.4548,69.33,71.7159
55,Czech Republic,CZE,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.4300078241036,74.1104,79.71,81.2986
56,Denmark,DNK,82.74,86.65,85.03,85.02,86.84,88.72,89.8100133895232,92.2600117153012,94.6297,95.99,96.3305
57,Djibouti,DJI,0.953611449300569,1.27004115919322,1.62,2.26,4,6.5,7,8.26723289204519,9.5,10.71,11.9224314345
58,Dominica,DMA,38.5436432637571,39.39817430347,40.2744630071599,41.16,42.02,47.45,48.6,49.8,51,57.5,67.6
59,Dominican Republic,DOM,11.4831977789344,14.8449283654589,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58,51.9302327383135
60,Early-demographic dividend,EAR,4.89542836726794,5.78349805911763,7.34926115345954,8.51512560992411,9.71275189885458,12.8465892474063,15.4577805224902,18.0242606262037,20.3490302123237,25.114540010684,29.7923425468531
61,East Asia & Pacific,EAS,14.6663590410613,16.6176466969737,20.7661147435158,25.2529265118703,29.512323897857,34.2294861026892,37.3636415645189,40.7561139681857,44.2035007394462,46.7398364541106,49.8247157803774
62,East Asia & Pacific (excluding high income),EAP,8.31914345082198,10.1737693906643,14.382235676457,19.2594204939169,23.7682630516695,28.9560564628934,32.3839569651021,36.1199169718467,39.2471135899819,41.9051895989675,44.9820489707828
63,East Asia & Pacific (IDA & IBRD countries),TEA,8.42433572824793,10.3022237187922,14.5631968751855,19.5011227114717,24.0657199514138,29.3174270931839,32.7871074062829,36.5682433516868,39.2471135899819,41.9051895989675,44.9820489707828
64,Ecuador,ECU,5.99425516097331,7.2,10.8,18.8,24.6,29.03,31.3668083587433,35.1351464545516,40.279121941,45.5903906666095,48.9404337892669
